year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2010,1,1,11,278,3,-2,1029,NW,43.32628994907549,4,5
2010,1,2,10,12,13,-5,996,SE,22.540064011546807,2,5
2010,1,3,14,88,-8,12,1018,NE,30.374258484502565,8,7
2010,1,4,22,88,-26,2,1003,SW,40.865035843572365,4,5
2010,1,4,22,69,11,10,993,SW,32.1376949731799,2,3
2010,1,5,7,168,7,35,1022,SW,29.621822606228232,8,9
2010,1,6,0,100,-4,11,996,SE,22.956067048527608,6,9
2010,1,6,12,130,14,35,1023,NW,7.637628044262784,4,2
2010,1,6,21,295,-23,14,999,SW,12.12735290682051,0,3
2010,1,7,14,235,18,-3,1013,NW,12.3666600717604,5,9
2010,1,8,1,72,1,37,1029,SW,39.553013023778945,1,2
2010,1,9,23,115,-3,14,1011,SW,43.96287695808634,2,4
2010,1,10,10,77,1,26,1022,NE,9.26376636996874,5,8
2010,1,10,22,0,3,12,992,SE,24.01665399050717,8,0
2010,1,11,9,132,-5,-4,1007,SW,30.12297214213482,2,2
2010,1,11,21,165,10,6,1025,NE,36.53774520376171,7,1
2010,1,12,23,189,-27,17,991,SW,7.356709007229628,4,8
2010,1,12,23,92,-9,17,1019,SE,34.366681438417,8,5
2010,1,13,11,47,-13,32,1008,NE,21.771462350644953,3,9
2010,1,15,15,230,-1,25,1005,SE,47.269692027321966,1,1
2010,1,16,0,4,12,27,1017,SW,5.465031538546289,8,0
2010,1,16,2,150,-16,6,1007,SE,34.389580466674616,6,5
2010,1,16,17,221,19,39,1002,NW,25.02002962367048,2,9
2010,1,20,1,270,1,-5,1011,NW,27.970399893623725,3,9
2010,1,20,4,151,14,29,1025,SW,12.529847009803635,5,2
2010,1,20,22,77,-22,21,993,NE,4.32796119216543,6,4
2010,1,21,5,169,29,32,1009,NE,13.173222470002466,9,8
2010,1,21,16,22,8,18,994,NE,44.20545875319332,2,7
2010,1,22,14,150,13,30,1009,NE,13.139203558177915,7,7
2010,1,23,3,136,0,32,1008,SE,24.143640706037328,4,4
2010,1,23,10,145,-11,32,1017,NW,11.246053745148776,3,4
2010,1,24,17,222,0,31,1012,NE,49.326889884185405,9,2
2010,1,25,3,221,-29,-2,1017,SE,21.691658259298624,8,0
2010,1,25,9,107,2,15,998,SE,32.48920598344135,4,0
2010,1,26,1,154,-23,7,1010,SW,1.9147298364279641,2,7
2010,1,26,19,104,15,7,1028,SW,44.2544727314135,7,2
2010,1,26,22,184,-14,23,994,NE,48.543075443837836,0,4
2010,1,27,12,238,7,28,1001,SW,0.8754377188925466,1,8
2010,1,28,5,86,12,-10,999,SE,18.807113742402514,5,6
2010,1,28,16,84,-30,-3,1011,NE,10.883526095342944,2,7
2010,1,29,7,40,-16,15,1011,SE,42.4889784713815,4,4
2010,1,29,20,65,-6,29,1007,NW,18.126858450098286,0,4
2010,1,30,2,164,-4,24,1007,SE,31.8031099983472,7,7
2010,1,30,9,213,13,39,1022,NW,4.576659112701792,7,8
2010,1,31,8,128,6,0,1006,NW,20.313603926693386,8,5
2010,1,31,21,227,-3,37,1013,SW,25.410408751877796,3,5
2010,1,31,22,8,26,9,1028,NE,39.41288215895627,8,7
2010,2,1,9,176,-20,-1,992,NW,19.426672037806377,5,2
2010,2,3,8,116,-5,31,1013,SW,10.601958355839336,9,8
2010,2,3,21,96,-25,19,991,SW,23.520927982139067,9,8
2010,2,4,3,248,-28,37,1012,NW,26.00755124984795,7,2
2010,2,5,4,24,7,34,1010,NW,40.73842676069518,5,5
2010,2,5,5,27,-4,-9,1018,NW,35.813163089660584,7,1
2010,2,5,8,150,25,-1,1017,SW,14.49390463492637,4,5
2010,2,5,16,228,-6,-8,1004,SW,32.355687622150235,0,5
2010,2,6,7,190,-23,-2,1012,SW,1.9013003269668816,2,3
2010,2,6,11,153,-13,18,1003,NW,20.21448917024873,7,8
2010,2,7,5,205,20,36,991,SW,16.13418473251924,9,4
2010,2,7,15,102,-10,5,1021,NW,42.46744291105662,3,9
2010,2,7,21,114,4,9,1002,SE,24.647905024482114,7,1
2010,2,7,22,283,3,-4,1018,NE,28.944321468509642,2,1
2010,2,8,9,108,1,25,1011,NE,24.36306349922446,2,0
2010,2,8,14,26,-28,26,995,NW,10.688387243490705,5,3
2010,2,8,16,179,-16,19,994,SW,30.7237826888888,7,4
2010,2,10,3,3,-6,32,1028,NW,0.5656542886656457,6,6
2010,2,10,12,174,20,-7,1014,NW,27.19758588199274,1,9
2010,2,10,16,274,11,36,1019,NE,27.502473595625474,1,9
2010,2,12,7,40,28,1,1011,NW,0.2549194645099062,6,8
2010,2,12,14,249,-9,2,997,NE,1.9951635305644144,4,3
2010,2,12,18,7,-8,-8,1011,SE,18.684727580157972,1,5
2010,2,12,22,177,-21,8,1028,SW,23.94399823125471,7,8
2010,2,13,13,207,26,10,1010,NW,23.23769636381703,2,7
2010,2,13,18,54,-22,-2,991,SW,28.92565931424557,9,2
2010,2,14,22,245,-18,-2,1027,NW,38.43649912569259,1,5
2010,2,15,3,112,2,15,1003,NW,13.936777981227683,4,2
2010,2,15,21,90,-27,1,1008,SE,30.653785585856387,9,3
2010,2,16,2,112,-19,-9,996,NE,17.708189420630465,7,4
2010,2,16,3,133,-1,26,1015,NE,45.40862906683933,7,9
2010,2,17,2,224,29,7,1025,SW,2.025601792399728,1,5
2010,2,17,4,260,-23,18,1020,SW,46.00958112449142,3,4
2010,2,17,15,218,-18,12,998,NW,34.89284205988711,1,5
2010,2,18,1,53,-18,23,993,NE,13.886417888870106,8,4
2010,2,18,3,114,-23,-4,1002,SE,15.488002500458576,0,9
2010,2,18,19,102,15,-8,1011,SW,39.366970073122424,4,4
2010,2,19,15,97,-19,10,1019,SE,19.775321150946755,6,8
2010,2,19,18,129,15,-10,1011,SW,25.169202510952722,0,1
2010,2,20,1,25,-12,5,1004,NE,12.867489458260845,8,7
2010,2,20,2,124,-5,-6,1017,NE,18.552455838062652,5,5
2010,2,20,17,136,-19,21,998,SE,41.38726899733994,2,0
2010,2,21,2,76,16,32,1008,SE,25.124499759019574,4,2
2010,2,22,0,89,1,28,996,SE,49.655803995571524,6,9
2010,2,22,18,136,-24,20,1017,NE,22.021669232901953,1,9
2010,2,23,7,229,25,35,1020,NW,28.425438486726566,0,0
2010,2,24,1,125,12,18,1013,NE,19.663061953318667,7,9
2010,2,25,8,267,-26,-3,999,SW,0.7061772345378692,0,3
2010,2,27,4,191,-10,20,994,SW,34.9485323028894,1,5
2010,2,27,14,65,6,4,1006,SW,4.488872910553915,2,2
2010,2,27,18,13,-16,9,1017,NW,3.7251582138511594,6,3
2010,2,28,14,241,26,14,1022,NW,42.811514178338975,7,4
2010,3,1,3,139,-29,30,1018,SE,38.07983133848249,9,4
2010,3,1,17,8,-6,38,1026,SW,41.025562887931066,3,8
2010,3,3,15,271,22,7,1000,NW,18.685236859993438,7,7
2010,3,4,4,152,-26,6,997,NW,25.848160861268166,6,2
2010,3,4,5,251,17,21,1025,SW,22.673611876577247,8,5
2010,3,5,0,298,16,14,1029,SW,16.585506120286148,9,0
2010,3,6,12,245,26,14,1003,SW,12.727724637285942,7,1
